"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Outdegree","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.6521739130434783","0.03776138506185249","0.6052631578947368","0.39387755102040817","50","3","50","40","false","IL4R","49.12","0","50","10","0","0.9872870249017038","false","0","IL4R","6300","0.5847619047619048"
"1.5185185185185186","0.06902905937597191","0.6585365853658536","0.3894542090656799","47","3","47","32","false","IL2RA","49.319148936170215","0","47","15","0","0.9868938401048494","false","0","IL2RA","8019","0.5871327254305978"
"1.8181818181818181","0.01825285337685307","0.55","0.40350877192982454","39","3","39","32","false","IL5RA","49.743589743589745","0","39","7","0","0.9849279161205767","false","0","IL5RA","2982","0.6296656929568322"
"1.6666666666666667","0.0","0.6","0.5","3","3","3","0","false","CYTH1","4.0","0","3","3","0","0.9517693315858454","false","0","CYTH1","0","0.6666666666666666"
"2.0","0.0","0.5","0.5","3","3","3","2","false","CYTH3","4.0","0","3","1","0","0.9517693315858454","false","0","CYTH3","0","0.6666666666666666"
"1.8","0.0","0.5555555555555556","0.5","3","3","3","1","false","CYTH2","4.0","0","3","2","0","0.9517693315858454","false","0","CYTH2","0","0.6666666666666666"
"1.7142857142857142","0.0","0.5833333333333334","0.0","2","2","2","0","false","E2F6","32.5","0","2","2","0","0.9781127129750983","false","0","E2F6","0","0.5"
"0.0","0.0","0.0","0.0","1","0","1","1","false","RNF2","2.0","0","1","0","0","0.9639580602883354","false","0","RNF2","0","0.0"
"2.2857142857142856","0.0","0.4375","0.5","2","3","2","0","false","FAM167A","36.0","0","2","2","0","0.9753604193971167","false","0","FAM167A","0","0.782608695652174"
"2.076923076923077","0.0","0.48148148148148145","0.5","3","4","3","0","false","FGFR3","64.66666666666667","0","3","3","0","0.9798165137614678","false","0","FGFR3","0","0.8398268398268398"
"0.0","0.0","0.0","0.0","1","0","1","1","false","RALGAPB","2.0","0","1","0","0","0.9486238532110091","false","0","RALGAPB","0","0.0"
"1.5","0.24426605504587157","0.6666666666666666","0.16666666666666666","4","2","4","3","false","UBQLN1","22.25","0","4","1","0","0.980602883355177","false","0","UBQLN1","7984","0.27848101265822783"
"0.0","0.0","0.0","0.0","1","0","1","1","false","SGF29","6.0","0","1","0","0","0.9515072083879423","false","0","SGF29","0","0.0"
