Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9764561,"Regulation of CDH1 Function",3,65,0.004015071962443635,0.02550859359808244,0.08515923243271628,3,16,9.996251405722854E-4,9606,Homo sapiens,"ACTC1;ACTB","","R-HSA-9934294;R-HSA-9934486;R-HSA-9934410"
R-HSA-5654704,"SHC-mediated cascade:FGFR3",2,26,0.001606028784977454,0.026486723917498733,0.08515923243271628,4,4,2.4990628514307136E-4,9606,Homo sapiens,"FGFR3","","R-HSA-5654646;R-HSA-5654647;R-HSA-5654625;R-HSA-5654634"
R-HSA-450321,"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",2,26,0.001606028784977454,0.026486723917498733,0.08515923243271628,1,3,1.874297138573035E-4,9606,Homo sapiens,"RIPK2;NOD2","","R-HSA-450337"
R-HSA-5654706,"FRS-mediated FGFR3 signaling",2,27,0.001667799122861202,0.028386410810905427,0.08515923243271628,9,9,5.622891415719105E-4,9606,Homo sapiens,"FGFR3","","R-HSA-5654631;R-HSA-5654628;R-HSA-8941628;R-HSA-5654416;R-HSA-5654623;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409"
R-HSA-450302,"activated TAK1 mediates p38 MAPK activation",2,27,0.001667799122861202,0.028386410810905427,0.08515923243271628,1,5,3.123828564288392E-4,9606,Homo sapiens,"RIPK2;NOD2","","R-HSA-450346"
R-HSA-9671555,"Signaling by PDGFR in disease",2,27,0.001667799122861202,0.028386410810905427,0.08515923243271628,2,24,0.001499437710858428,9606,Homo sapiens,"STAT1;STAT3","","R-HSA-9672176;R-HSA-9672159"
R-HSA-8853334,"Signaling by FGFR3 fusions in cancer",1,3,1.8531101365124467E-4,0.028497267000828774,0.08549180100248632,2,2,1.2495314257153568E-4,9606,Homo sapiens,"FGFR3","","R-HSA-8853317;R-HSA-8853309"
R-HSA-2033515,"t(4;14) translocations of FGFR3",1,3,1.8531101365124467E-4,0.028497267000828774,0.08549180100248632,2,2,1.2495314257153568E-4,9606,Homo sapiens,"FGFR3","","R-HSA-2038387;R-HSA-2038386"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",4,120,0.007412440546049787,0.02954998054090474,0.08864994162271422,8,60,0.00374859427714607,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-450294,"MAP kinase activation",3,69,0.004262153313978627,0.029686109982191677,0.08905832994657503,4,32,0.001999250281144571,9606,Homo sapiens,"RIPK2;NOD2;BTRC","","R-HSA-450337;R-HSA-5684250;R-HSA-450346;R-HSA-5684248"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",4,121,0.007474210883933535,0.030326954645753634,0.0909808639372609,8,75,0.004685742846432588,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-9857377,"Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy",2,28,0.0017295694607449503,0.030339091060690326,0.09101727318207098,2,13,8.121954267149819E-4,9606,Homo sapiens,"ATP6V0C","","R-HSA-9858883;R-HSA-9858913"
R-HSA-9953170,"GBP-mediated host defense",2,28,0.0017295694607449503,0.030339091060690326,0.09101727318207098,1,15,9.371485692865175E-4,9606,Homo sapiens,"ACTB","","R-HSA-9956706"
R-HSA-9616222,"Transcriptional regulation of granulopoiesis",3,70,0.004323923651862376,0.030783552918781987,0.09235065875634596,5,27,0.0016868674247157316,9606,Homo sapiens,"IL11RA;STAT3;IL6R","","R-HSA-9617194;R-HSA-9618584;R-HSA-9617209;R-HSA-9634430;R-HSA-9634445"
R-HSA-3108232,"SUMO E3 ligases SUMOylate target proteins",5,184,0.011365742170609674,0.03360235558392133,0.09546129448757101,12,132,0.008246907409721355,9606,Homo sapiens,"CREBBP;TRIM28;TRIM27;RELA;RNF2","","R-HSA-4551655;R-HSA-3108203;R-HSA-4570499;R-HSA-4655440;R-HSA-4755536;R-HSA-4551727;R-HSA-4570463;R-HSA-3927824;R-HSA-3927959;R-HSA-3108209;R-HSA-3782535;R-HSA-3000434"
R-HSA-5621575,"CD209 (DC-SIGN) signaling",2,30,0.0018531101365124468,0.03439874057346004,0.09546129448757101,4,11,6.872422841434462E-4,9606,Homo sapiens,"CREBBP;RELA","","R-HSA-5660660;R-HSA-5660980;R-HSA-5660666;R-HSA-5624473"
R-HSA-1266695,"Interleukin-7 signaling",2,31,0.001914880474396195,0.03650340770568017,0.09546129448757101,13,26,0.0016243908534299637,9606,Homo sapiens,"STAT3;JAK1","","R-HSA-449958;R-HSA-1295540;R-HSA-6785165;R-HSA-1295519;R-HSA-8983077;R-HSA-1295516;R-HSA-8983078;R-HSA-8983003;R-HSA-1264832;R-HSA-9025969;R-HSA-8983059;R-HSA-449978;R-HSA-8983063"
R-HSA-9665230,"Drug resistance in ERBB2 KD mutants",1,4,2.470813515349929E-4,0.03781587977176726,0.09546129448757101,8,8,4.998125702861427E-4,9606,Homo sapiens,"ERBIN","","R-HSA-9665315;R-HSA-9665232;R-HSA-9665280;R-HSA-9665286;R-HSA-9665284;R-HSA-9665304;R-HSA-9665311;R-HSA-9665278"
R-HSA-9652282,"Drug-mediated inhibition of ERBB2 signaling",1,4,2.470813515349929E-4,0.03781587977176726,0.09546129448757101,3,3,1.874297138573035E-4,9606,Homo sapiens,"ERBIN","","R-HSA-9652277;R-HSA-9652264;R-HSA-9665726"
